SEARCH:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM NO.,CATEGORY,SECTION,LOCATION,CURRENT STATUS,PARTICULARS,SYSTEM,EQUIPMENT,RS NUMBER,DATE RS SENT,QUOTATION STATUS,BRF NO.,AMOUNT,DATE UPLOADED,BRF STATUS,DATE APPROVED,PR NO.,DATE SENT,PR STATUS,DATE APPROVED,DATE UPLOADED TO SHARE POINT,DATE OF TECHNICAL EVALUATION SENT,PO NO.,DATE APPROVED,PO/WO STATUS,SUPPLIER,DELIVERY STATUS,DATE UPLOADED TO SHAREPOINT (RFP),RELEASED DATE,
20,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Critical Spare for Coal Crusher Vibration Electric Motor at DPTPP Narra.,Coal Handling System,Vibration Electric Motor,DPC-MAINT-RS-2024-EM039,"November 12, 2024",Served,BRF-PAL-2024-01060,,"November 13, 2024",APPROVED,"BRF Approved November 27, 2024",PR008714,"November 27, 2024",APPROVED,"December 1,2024","December 2,2024","December 2,2024",FPO-000157 ,,APPROVED,TAIHE ELECTRIC,DELIVERED,,,
21,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Electrical Materials for Coal Crusher Control Panel Modification and Relocation at DPTPP Narra (1st Revision),Electrical,Coal Crusher Control Panel,DPC-MAINT-RS-2024-EM037,-,Served,BRF-PAL-2024-01076,,"November 19, 2024",APPROVED,"
Aprroved for payment 
November 26, 2024",,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,"November 26,2024",,,,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,DELIVERED,"November 27,2024",,
22,OTHERS,Electrical,DPTPP - Narra 1,DELIVERED,Local Supply of G1 Gravel for 20MVA Substation Ground at DPTPP Narra.,Miscelleneous,Substation,DPC-MAINT-RS-2024-EM041/PLD-LP-2024-487,-,Served,BRF-PAL-2024-01097,,"November 27, 2024",APPROVED,"Aprroved for payment December 4, 2024",,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,"December 4,2024",,,,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,ELTRA ELECTRIC POWER CONTROL SYSTEM,DELIVERED,,,
23,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR FOLLOW UP,Replenishment Spare for Motor Bearings and Belts at DPTPP Narra.,Miscelleneous,Motor Bearings,DPC-MAINT- RS-2024-EM038,10/31/2024,Served,BRF-PAL-2024-01148,"₱121,394.00","January 6, 2025",APPROVED,"BRF Approved January 15, 2025",PR008799,"January 16, 2025",APPROVED,"February 27,2025",,"April 3, 2025","PO-008273
PO-008275","April 28-29,2025",APPROVED,"United Bearings Industrial Corps.
Bearing Center & Machinery Inc.",PARTIAL,,,
24,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR FOLLOW UP,Supply of Critical Spares for Major Pumps and Fans Motor Control Relays at DPTPP Narra,Electrical,Electrical Control Panels,DPC-MAINT- RS-2024-EM036,-,Served,BRF-PAL-2025-01155,"₱283,784.36","January 8, 2025",APPROVED,"Approved January 21, 2024",PR008822,"January 23, 2025",APPROVED,,,"February 27, 2025",FPO-000180,"March 20, 2025",APPROVED,TAIHE ELECTRIC,PARTIAL,,,
25,OTHERS,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Labor & Materials for the Local Rewinding of Biomass Double Shaft Screw Reclaimer Motor at DPTPP Narra,Labor,Biomass Double Shaft Screw Reclaimer Motor,DPC-MAINT- RS-2025-EM040,"January 4, 2025",Served,BRF-PAL-2025-01158 ,"₱20,000.00","January 9, 2025",APPROVED,"Approved for Payment January 19, 2024",,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,"January 19,2024",,,,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,DELIVERED,,,
26,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Critical Replacement Parts for Automatic Transfer Switch (ATS) of Valve Distribution Power Cabinet (10BRA02) at DPTPP Narra.,MV System,ATS,DPC-MAINT- RS-2025-EM044,"November 29, 2024",Served,BRF-PAL-2025-01165,"₱339,593.67","January 14, 2025",APPROVED,"Approved January 21, 2024",PR008820,"January 23, 2025",APPROVED,"January 25,2025",,"February 11, 2025",FPO-000170 ,"February 25, 2025",APPROVED,RVCGBI and RVC Global Management,DELIVERED,,,
27,OTHERS,Electrical,DPTPP - Narra 1,DELIVERED,Supply Of Communication Command Board And Call Buttons For Boiler Car Door Elevator At Dptpp Narra.,Electrical,Elevator,DPC-MAINT-RS-2025-EM043,"January 8, 2025",Served,BRF-PAL-2025-01171,"₱33,062.00","January 16, 2025",APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,"Approved for Payment January 23, 2024",,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,"January 23,2025",,,,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,DELIVERED,,,
28,ANNUAL PMS,Electrical,DPTPP - Narra 1,DELIVERED,Local Supply of 6.5kVA Emergency Diesel Generator for the Annual PMS Requirements at DPTPP Narra,Miscelleneous,Emergency Diesel Generator Portable,DPC-MAINT-RS-2025-EM042,"January 2, 2025",Served,BRF-PAL-2025-01172 ,"₱69,800.00","January 17, 2025",APPROVED,"Approved for Payment January 23, 2024",,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,,,,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,DELIVERED,,,
29,ANNUAL PMS,Electrical,DPTPP - Narra 1,DELIVERED,LOCAL SUPPLY OF ADDITIONAL ELECTRICAL MATERIALS FOR DPTPP NARRA ANNUAL PMS ACTIVITIES.,Miscelleneous,Electrical Control Panels,DPC-MAINT-RS-2025-EM046,"January 22, 2025",Served,BRF-PAL-2025-01182,"₱10,210.00","January 22, 2025",APPROVED,"Approved for Payment February 01, 2024",,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,,,,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,DELIVERED,,,
30,OTHERS,Electrical,DPTPP - Narra 1,DELIVERED,Inspection and Function Testing of Bridge Cranes & Electric Hoists at DPTPP Narra,Labor,Bridge Crane & Electric Hoist,DPPC-MMAINT- RS-M003,,Served,BRF-PAL-2025-01164,,"January 13, 2025",APPROVED,Approved for Payment ,PR008812,"January 21, 2025",APPROVED,,,"February 07,2024",,,APPROVED,WO-CHEC CORPORATION,DELIVERED,,,
31,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Insocoat Bearing Spares for Boiler Fans & Pumps Motors at DPTPP Narra,Electrical,Motor Bearings,DPC-MAINT-RS-2024-EM017,"August 20, 2024",Served,BRF-PAL-2025-01202,"₱582,641.00","January 7, 2025",APPROVED,"BRF Approved February 28, 2025",PR008889,"March 3, 2025",APPROVED,"Feb 04,2025",,"April 1, 2025",PO-008300,"May 06,2025",APPROVED,Wincorp Enterprises INC,DELIVERED,,,
32,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Critical Replacement Parts for DPTPP Narra Screw Air Compressor.,Air Compressor System,Screw Air Compressor,DPC-MAINT-RS-2025-EM047,"February 13, 2025",Served,,"₱103,050.08",,APPROVED,,PR008850,"February 14, 2025",APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,,,PO-008269,"April 24, 2025",APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,DELIVERED,,,
33,OTHERS,Electrical,DPTPP - Narra 1,DELIVERED,Electrical & Instrumentation & Control Maintenance Manpower Requirement during DPTPP PMS,,,DPPC-MMAINT- RS-M002,-,Served,BRF-PAL-2025-01154,,,APPROVED,"Approved for Payment January 23, 2024",,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,"January 23,2024",,,,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,DELIVERED,,,
34,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Critical Spares Magnetic Contactor and Auxiliary Contact  for Major Pumps and Fans Motors at DPTPP Narra,Electrical,Major Pumps and Fans Motor,DPC-MAINT-RS-2025-EM018,-,Served,BRF-PAL-2025-01227,"664,373.00","February 20, 2025",APPROVED,"BRF Approved March 5, 2025",PR008907,"March 6, 2025",APPROVED,"March 9,2025",,April 3 & 11 2025,PO-008298,"May 06,2025",APPROVED,MTECH,DELIVERED,,,
35,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR FOLLOW UP,Supply of Critical Spares Inverter Drive for Motors at DPTPP Narra.,Electrical,Inverter Drive for Motors,DPC-MAINT-RS-2025-EM020,-,Served,BRF-PAL-2025-01229,"396,335.00","February 20, 2025",APPROVED,"BRF Approved March 5, 2025",PR008906,"March 6, 2025",,,,"March 24, 2025","PO-008266
PO-008265",,APPROVED,MTECH & DUBEON,PARTIAL,,,
36,OTHERS,Electrical,DPTPP - Narra 1,DELIVERED,Supply of One (1) Unit SKF Bearing Heater intended for DPC Palawan.,,,DPC-MAINT-RS-2024-EM34,"October 10, 2024",Served,BRF-PAL-2025-01233,"463,000.00","March 5, 2025",APPROVED,"BRF Approved March 20, 2025",PR008959,"March 21, 2025",APPROVED,,,"April 21, 2025",PO-008313,"May 21,2025",APPROVED,-,DELIVERED,-,-,
37,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Spare Controller Assembly for DPTPP Narra Screw Air Compressor.,Air Compressor System,Screw Air Compressor,DPC-MAINT-RS-2025-EM054,"February 13, 2025",Served,BRF-PAL-2025-01275,"113,050.08","March 25, 2025",APPROVED,"BRF Approved for Payment April 06, 2025",-,-,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,,-,-,-,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,FAO Allpower Corp_For Controller,DELIVERED,"April 08, 2025","10K Check Already Received from Treasury 4/10/2025@1400H
102,129.99 Check Already Received from Treasury 5/15/2025@1100H(C/O Treasury for deposit tomorrow 5/16/2025)",
38,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR P.O,Supply of Critical Spares for Local Panel Control Transformer at DPTPP Narra.,Electrical,Electrical Control Panels,DPC-MAINT-RS-2025-EM045,"January 16, 2024",Served,BRF-PAL-2025-01290,"283,723.21","April 3, 2025",APPROVED,"BRF Approved April 25, 2025",PR009038,"May 6, 2025",APPROVED,"May 08,2025","May 14,2025","July 08,2025",,,,,,,,
39,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR FOLLOW UP,Supply of Critical Spares for Major Fans and Pumps Motor Frequency Converter at DPTPP Narra,Electrical,Major Fans and Pump Motors Frequency Converter,DPC-MAINT-RS-2024-EM026,-,Served,BRF-PAL-2025-01292,"2,280,797.53","April 7, 2025",APPROVED,"BRF Approved April 25, 2025",PR009037,"May 6, 2025",APPROVED,"May 08,2025","May 14,2025",-,FPO-000217,"July 17,2025",APPROVED,Unienergy Engineering Limited,PENDING,,,
40,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR DELIVERY,Supply of Critical Spares Micrologic Battery and Control Unit for DPTPP Narra Low Voltage Switchgear.,Electrical,Low Voltage Switchgear,DPC-MAINT-RS-2025-EM055,"April 10, 2024",Served,BRF-PAL-2025-01327 ,"290,360.00","April 23, 2025",APPROVED,"BRF Approved May 15, 2025 and Received Email on May 16, 2025","
PR009063","May 21,2025",APPROVED,"June 2,2025","June 2,2025","July 08,2025","PO-008406
PO-008407",,PENDING,,,,,
41,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR P.O,Supply of Critical spares for ESP System at DPTPP Narra.,Electrical,Electrical Control Panels,DPC-MAINT-RS-2025-EM056,-,Served,BRF-PAL-2025-01334,"525,770.00","April 24, 2025",APPROVED,"BRF Approved May 15, 2025 and Received Email on May 16, 2025","
PR009064 ","May 21,2025",APPROVED,"June 2,2025","June 2,2025","August 17,2025",,,,,,,,
42,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR P.O, Replenishment Spare for Motor Bearings at DPTPP Narra,Electrical,Electrical Control Panels,DPC-MAINT-RS-2025-EM057,"March 7, 2024",Served,BRF-PAL-2025-01333,"101,882.97","April 24, 2025",APPROVED,"BRF Approved May 15, 2025 and Received Email on May 16, 2025","
PR009067 ","May 21,2025",APPROVED,"June 2,2025","June 2,2025","July 08,2025",,,,,,,,
43,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Critical spares for Fly Ash and Limestone Handling System at DPTPP Narra,Electrical,Electrical Control Panels,DPC-MAINT-RS-2025-EM058,-,Served,BRF-PAL-2025-01347,"206,175.00","May 1, 2025",APPROVED,"BRF Approved May 15, 2025 and Received Email on May 16, 2025",PR009074,"May 26,2025",APPROVED,"June 2,2025","June 2,2025",,,,,,,,,
44,OTHERS,Electrical,DPTPP - Narra 1,DELIVERED,Supply of Electrical Materials Needed at DPTPP Narra.,Electrical,Electrical Control Panels,DPC-MAINT-RS-2025-EM059,"May 5, 2025",Served,BRF-PAL-2025-01359,"53,100.00","May 13, 2025",APPROVED,"BRF Approved for Payment May 21, 2025",,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,,,,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,Nickson Enterprise OPC,DELIVERED,"May 21, 2025",,
45,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR P.O,Supply of Critical Safety Spares for Control Panels at DPTPP Narra,Electrical,Electrical Control Panels,DPC-MAINT-RS-2025-EM061,"May 22, 2025",Served,BRF-PAL-2025-01375,"307,910.00","May 22, 2025",APPROVED,"BRF Approved June 17, 2025 and Received Email on June 18, 2025",PR009144,"June 20,2025",APPROVED,"June 25,2025","June 25,2025","July 22,2025",,,,,,,,
46,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR FOLLOW UP,Supply of Critical Spares for Electrical Panels Needed at DPTPP Narra.,Electrical,Electrical Control Panels,DPC-MAINT-RS-2025-EM062,"June 4, 2025",Served,BRF-PAL-2025-01412,"308,760.00","June 4, 2025",APPROVED,"BRF Approved June 17, 2025 and Received Email on June 18, 2025",PR009138,"June 21,2025",APPROVED,"June 25,2025","June 25,2025","July 22,2025",PO-008434,"August 05,2025",APPROVED,Dubeon Corporation,PENDING,,,"October 22,2025"
47,REGULAR PMS CONSUMABLES,Electrical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Replenishment of Electrical Batteries Needed at DPTPP Aborlan and Irawan,Electrical,MV Switchgears,DPC-MAINT-RS-2025-EM063,"June 10, 2025",Served,BRF-PAL-2025-01423,"253,000.00","June 10, 2025",APPROVED,FOR BRF APPROVAL,PR009166,"July 9,2025",APPROVED,"July 10,2025","July 20,2025",,,,,,,,,
48,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Critical Safety Spares for UPS and DC Panels at DPTPP Narra,MV System,Electrical Control Panels,DPC-MAINT-RS-2025-EM064,"June 16, 2025",Served,BRF-PAL-2025-01429,"524,000.00","June 16, 2025",APPROVED,FOR BRF APPROVAL,PR009167,"July 9,2025",APPROVED,"July 10,2025","July 20,2025",,,,,,,,,
49,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Replenishment of Electrical Consumables for Air Compressor Needed at DPTPP Narra.,Miscelleneous,Air Compressor,DPC-MAINT-RS-2025-EM065,-,Served,,,,APPROVED,,PR009127,"June 21,2025",APPROVED,"June 25,2025","June 25,2025",,,,,,,,,
50,REGULAR PMS CONSUMABLES,Electrical,DPTPP - Narra 1,FOR P.O,Replenishment of Batteries for Heavy Equipment at DPTPP Narra.,Heavy Equipment,Heavy Equipment,DPC-MAINT-RS-2025-EM066,-,Served,,,,APPROVED,,PR009142,"June 21,2025",APPROVED,"June 25,2025","June 25,2025","July 8,2025",,,,,,,,
51,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Molded Case Circuit Breaker for Control Panels at DPTPP Narra.,Electrical,Electrical Control Panels,DPC-MAINT-RS-2025-EM067,"July 3, 2025",Served,BRF-PAL-2025-01467,FOR FINAL BIDDING,"July 3, 2025",APPROVED,"July 14,2025",PR009203,"July 18,2025",APPROVED,"August 4,2025","August 6,2025",,,,,,,,,
52,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,AWAITING QUOTATION FOR RFP,Supply Critical Spares for Jockey Pump DPTPP Narra,Electrical,Jockey Pump,DPC-MAINT-RS-2025-EM068,"July 3, 2025",Served,,,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,,,PENDING,,,,,,,,,,,
53,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR FOLLOW UP,Supply Critical Spares for Submersible Pump DPTPP Narra,Electrical,Submersible Pump,DPC-MAINT-RS-2025-EM069,"July 3, 2025",Served,-,"1,800.00",-,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,,,,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,Sensor and Measuring,PENDING,,,
54,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,AWAITING QUOTATION FOR RFP,Supply of Critical Spares for Payloader at DPTPP Narra,Heavy Equipment,Payloader,DPC-MAINT-RS-2025-EM070,"July 3, 2025",Served,,,,APPROVED FOR PAYMENT / UPLOAD TO SHARE POINT,,,,PENDING,,,,,,,,,,,
55,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of LED Bulbs and Panel Door Knob Needed at DPTPP Narra,Electrical,Electrical Control Panels,DPC-MAINT-RS-2025-EM071,"July 4, 2025",Served,BRF-PAL-2025-01469,FOR FINAL BIDDING,"July 4, 2025",APPROVED,"July 27,2025",PR009256,"July 28,2025",APPROVED,"August 4,2025","August 05,2025",,,,,,,,,
56,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Miniature Circuit Breaker for Control Panels at DPTPP Narra.,Electrical,Electrical Control Panels,DPC-MAINT-RS-2025-EM072,"July 4, 2025",Served,BRF-PAL-2025-01468,FOR FINAL BIDDING,"July 4, 2025",APPROVED,"July 14,2025",PR009204,"July 18,2025",APPROVED,"July 27,2025","July 30,2025",,,,,,,,,
57,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Relays for Control Panels Needed at DPTPP Narra,Electrical,Electrical Control Panels,DPC-MAINT-RS-2025-EM073,"July 7, 2025",Served,BRF-PAL-2025-01479,FOR FINAL BIDDING,"July 7, 2025",APPROVED,"July 17,2025",PR009215,"July 18,2025",APPROVED,"August 4,2025","August 6,2025",,,,,,,,,
58,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Current Transformer and Analog Ammeter For Control Panels Needed at DPTPP Narra,Electrical,Electrical Control Panels,DPC-MAINT-RS-2025-EM074,"July 16, 2025",Served,BRF-PAL-2025-01497,FOR FINAL BIDDING,"July 16, 2025",APPROVED,"August 5,2025",PR009285,"August 06,2025",APPROVED,"August 7,2025","August 7,2025",,,,,,,,,
59,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR P.R,Supply of Replacement Motor for DPTPP Narra Limestone Handling System,Electrical,Starfeeder Motor,DPC-MAINT-RS-2025-EM075,"July 23, 2025",Served,BRF-PAL-2025-01512,32500,"July 23, 2025",APPROVED FOR PAYMENT,"August 12,2025",,,,,,,,,,,,,,
60,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR FOLLOW UP,Supply of Replacement Insocoat Bearing for Boiler Feed Water Pump Motors Needed at DPTPP Narra.,Electrical,Boiler Feed Water Pump,DPC-MAINT-RS-2025-EM076,"July 25, 2025",Served,-,-,-,APPROVED FOR PAYMENT,-,PR009253,"July 25,2025",APPROVED,"August 08,2025","August 08,2025",,NOA-DPC-PLD2025-091,"July 30,2025",APPROVED,Bearing Center Machinery,PARTIAL,,,
,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR PR APPROVAL,Supply of Insocoat Bearing Replacement and Spares for Motors Needed at DPTPP Narra,Electrical,"CWP,IDF,PAF,SAF,Secondary HP,Primary HP,Condensate Pump",DPC-MAINT-RS-2025-EM077,"July 30, 2025",Pending,BRF-PAL-2025-01531,FOR FINAL BIDDING,"July 30, 2025",APPROVED,-,PR009305,"August 13,2025",FOR APPROVAL,,,,,,,,,,,
,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of High Voltage Current Limiting Fuse For Medium Voltage Switchgear Needed at DPTPP Narra.,MV Switchgear System,Fuse 24kV,DPC-MAINT-RS-2025-EM078,"July 30, 2025",Pending,BRF-PAL-2025-01532,FOR FINAL BIDDING,"July 30, 2025",APPROVED,"August 6,2025",PR009290,"August 07,2025",APPROVED,"August 14,2025","August 14,2025",,,,,,,,,
,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Motor and Motor Fan for Boiler Feed Water Pump Needed at DPTPP Narra.,Combustion System,Boiler Feed Water Pump,DPC-MAINT-RS-2025-EM079,"August 11, 2025",Pending,BRF-PAL-2025-01543,FOR FINAL BIDDING,"August 11, 2025",APPROVED,"August 11,2025",PR009319,"August 18,2025",FOR APPROVAL,"August 19,2025","August 19,2025",,,,,,,,,
,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Supply of Electrical Materials For Causeway Needed at DPTPP Narra.,Miscelleneous,Causeway,DPC-MAINT-RS-2025-EM080,"August 8,2025",Pending,BRF-PAL-2025-01546,"11,860.00","August 8,2025",APPROVED,,,,,,,,,,,Nickson Enterprises,RELEASED,,"August 20,2025",
,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR BRF APPROVAL,Supply of Critical Safety Spares for the Dust Collector Motor Needed at DPTPP Narra,Dust Collector System,Motor,DPC-MAINT-RS-2025-EM081,"August 8,2025",Pending,BRF-PAL-2025-01547,FOR FINAL BIDDING,"August 9,2025",FOR APPROVAL,,,,,,,,,,,,,,,
,CRITICAL/SAFETY SPARES,Electrical,DPTPP - Narra 1,FOR BRF APPROVAL,"Supply of Motors for Secondary Filter, Mobile Oil Purification for Turbine and Clarifier Mixer Motor for W.T System Needed at DPTPP Narra",Turbine & Water Treatment System,Motor,DPC-MAINT-RS-2025-EM082,"August 20, 2025",Pending,BRF-PAL-2025-01573,FOR FINAL BIDDING,"August 20, 2025",FOR APPROVAL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR RFP,Supply of Canvass Cloth for Coal Crusher at DPTPP - Narra,Coal Handling System,Coal Crusher ,DPC-MAINT-RS-2025-ME-M54,"June 26, 2025",Pending,BRF-PAL-2025-01453,,"June 27, 2025",APPROVED FOR PAYMENT,,,,,,,,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR BRF APPROVAL,Supply of Urgent Replacement Parts for Dump Truck at DPTPP - NARRA,Heavy Equipment,Dump Truck MDT-75,,,Pending,BRF-PAL-2025-01463,,"June 2, 2025",,,,,,,,,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR BRF APPROVAL,Supply of Parts and Consumable for the modification of CIP for EDI Device at DPTPP-Narra,Water Treatment System,EDI ,DPC-MAINT-RS-2025-ME-M53,,Pending,BRF-PAL-2025-01465,,"June 2, 2025",,,,,,,,,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,UPLOAD TO SHARE POINT,Supply of critical parts of Wet Mixer reducer for ash handling at DPTPP - Narra,Fly Ash Handling System,Wet Mixer,DPC-MAINT-RS-2025-ME-M53,"May 29, 2025",Served,BRF-PAL-2025-01417,"185,980.95","June 8, 2025",APPROVED,"June 30, 2025",PR009189,"July 7, 2025",APPROVED,,,,,,,,,,,
